State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Gujarat,78.89,Hero,Splendor Plus,209516,2019,251,Electric,79.44,First,2019,Expired,Dealer,119076.98,Tier 2
Tamil Nadu,41.92,Kawasaki,Ninja 400,164442,2023,889,Hybrid,61.21,Second,2023,Not Available,Individual,76366.73,Tier 2
Punjab,6.46,Bajaj,Dominar 400,156247,2022,540,Petrol,59.24,First,2022,Not Available,Individual,98487.9,Tier 1
Madhya Pradesh,63.85,Kawasaki,Z650,219556,2015,389,Hybrid,64.33,Third,2020,Expired,Individual,143858.56,Tier 1
Delhi,49.65,Bajaj,CT 100,390628,2023,808,Electric,73.89,Third,2023,Expired,Individual,261352.84,Tier 3
Gujarat,31.83,Bajaj,Avenger 220,350572,2018,163,Petrol,59.38,Third,2018,Not Available,Individual,202530.65,Metro
West Bengal,38.22,KTM,250 Duke,223299,2018,736,Petrol,55.78,Third,2019,Expired,Individual,101721.02,Tier 2
Karnataka,31.75,Yamaha,FZ V3,125335,2016,363,Electric,74.28,Third,2017,Not Available,Dealer,84628.75,Metro
Delhi,28.08,Royal Enfield,Himalayan,132895,2019,682,Electric,90.46,Third,2023,Active,Individual,62810.08,Tier 2
Madhya Pradesh,57.96,Bajaj,Avenger 220,185667,2022,610,Electric,95.26,First,2022,Not Available,Dealer,93980.31,Metro
Madhya Pradesh,51.55,Bajaj,Pulsar 150,211524,2019,693,Electric,93.39,First,2019,Expired,Dealer,94788.62,Tier 3
Maharashtra,44.48,Kawasaki,Vulcan S,377539,2019,210,Petrol,30.97,First,2019,Not Available,Individual,151275.45,Tier 2
Gujarat,63.03,TVS,NTorq 125,211610,2018,976,Electric,83.89,Third,2022,Not Available,Dealer,97110.65,Metro
Maharashtra,24.9,Honda,CBR 650R,306378,2023,895,Hybrid,84.26,First,2023,Expired,Dealer,158665.9,Metro
Punjab,47.98,Yamaha,MT-15,362211,2021,467,Electric,77.95,Third,2024,Expired,Dealer,232646.75,Tier 2
Gujarat,43.45,TVS,Apache RTR 160,185568,2024,686,Hybrid,60.92,Third,2024,Not Available,Dealer,88477.96,Tier 3
Uttar Pradesh,12.36,KTM,Duke 200,316842,2024,473,Hybrid,79.14,Third,2024,Not Available,Individual,152306.11,Tier 3
Karnataka,23.4,TVS,Jupiter,253950,2020,319,Petrol,32.28,First,2020,Active,Individual,154174.69,Tier 2
Maharashtra,17.6,KTM,125 Duke,386398,2020,725,Hybrid,86.0,First,2020,Not Available,Dealer,281707.69,Metro
Karnataka,62.88,TVS,NTorq 125,376899,2015,209,Hybrid,64.35,Third,2015,Expired,Individual,253319.77,Metro
Madhya Pradesh,29.33,Hero,Splendor Plus,355449,2019,958,Hybrid,81.05,Third,2020,Active,Dealer,170315.89,Tier 1
Rajasthan,48.02,KTM,125 Duke,380766,2024,109,Electric,71.21,First,2024,Expired,Dealer,198918.75,Tier 3
Tamil Nadu,43.6,Hero,HF Deluxe,136748,2021,474,Petrol,32.38,First,2021,Not Available,Dealer,58190.06,Metro
Madhya Pradesh,40.15,Kawasaki,Ninja 300,187101,2021,848,Hybrid,85.53,Third,2023,Not Available,Dealer,136335.61,Tier 1
West Bengal,57.7,Bajaj,Pulsar 150,350068,2016,595,Electric,76.12,First,2016,Active,Individual,203599.44,Tier 2
Madhya Pradesh,70.88,TVS,Ronin,277400,2022,627,Hybrid,88.94,First,2022,Not Available,Individual,114737.87,Tier 2
Maharashtra,41.21,Kawasaki,Versys 650,148320,2024,409,Hybrid,68.96,First,2024,Expired,Dealer,64234.45,Tier 2
Delhi,17.65,Royal Enfield,Hunter 350,232311,2017,520,Electric,64.62,Second,2019,Active,Individual,116769.39,Tier 2
Karnataka,73.17,KTM,390 Adventure,248607,2018,902,Electric,76.12,First,2018,Expired,Dealer,123552.09,Tier 3
Punjab,7.42,Yamaha,Ray ZR,148120,2016,216,Hybrid,73.11,First,2016,Expired,Dealer,115810.29,Tier 3
Madhya Pradesh,32.91,Kawasaki,Vulcan S,394386,2024,329,Hybrid,77.98,Second,2024,Expired,Individual,192347.65,Tier 2
Uttar Pradesh,37.2,Yamaha,Fascino 125,356895,2023,569,Petrol,47.95,First,2023,Not Available,Individual,248952.88,Metro
Gujarat,62.82,Honda,Unicorn,200975,2017,566,Petrol,40.0,First,2017,Active,Individual,156213.01,Metro
Tamil Nadu,27.46,Honda,Unicorn,97038,2021,960,Hybrid,76.12,Second,2021,Active,Individual,65394.71,Metro
Delhi,44.41,Honda,Activa,321025,2021,801,Hybrid,72.98,Third,2024,Active,Dealer,252540.36,Tier 2
Punjab,63.6,Hero,Splendor Plus,299225,2015,251,Electric,71.07,First,2015,Expired,Dealer,151984.82,Tier 1
Uttar Pradesh,71.95,Honda,Dio,183747,2020,783,Hybrid,78.97,First,2020,Expired,Dealer,96565.6,Tier 2
West Bengal,77.69,Hero,HF Deluxe,309275,2017,661,Hybrid,74.68,Second,2017,Not Available,Dealer,192869.43,Metro
Rajasthan,58.66,Hero,HF Deluxe,87771,2024,701,Hybrid,87.71,Third,2024,Active,Dealer,65692.96,Tier 1
West Bengal,64.48,Royal Enfield,Classic 350,361570,2019,632,Electric,76.92,Second,2019,Active,Dealer,217306.7,Tier 2
West Bengal,37.31,Kawasaki,Vulcan S,213554,2022,247,Petrol,54.57,First,2022,Expired,Individual,113681.82,Tier 3
Rajasthan,75.69,Kawasaki,Vulcan S,218265,2022,355,Electric,79.65,Second,2022,Not Available,Individual,126601.75,Metro
Delhi,61.88,Hero,Passion Pro,90348,2020,862,Electric,79.32,Second,2020,Active,Individual,44290.01,Metro
Madhya Pradesh,69.9,Yamaha,R15 V4,54155,2022,346,Petrol,50.08,Third,2022,Not Available,Dealer,27558.48,Tier 2
Uttar Pradesh,16.71,TVS,Ronin,314138,2016,658,Hybrid,70.78,Third,2021,Active,Dealer,149372.03,Metro
Maharashtra,21.67,Yamaha,Ray ZR,245454,2023,528,Electric,74.96,First,2023,Active,Individual,145502.16,Tier 3
Punjab,24.74,Royal Enfield,Himalayan,55844,2020,372,Petrol,28.91,Second,2023,Not Available,Individual,27329.24,Tier 1
Tamil Nadu,69.96,Yamaha,FZ V3,78480,2021,563,Petrol,55.88,Third,2022,Not Available,Dealer,40653.97,Tier 2
Karnataka,29.41,Bajaj,Avenger 220,356103,2021,682,Hybrid,65.51,Third,2023,Active,Dealer,200667.57,Tier 1
Uttar Pradesh,13.84,Yamaha,MT-15,363831,2015,618,Petrol,41.71,Second,2016,Expired,Individual,216520.65,Tier 2
Tamil Nadu,52.92,Royal Enfield,Meteor 350,170652,2023,633,Petrol,27.03,First,2023,Active,Individual,88386.53,Tier 3
Madhya Pradesh,79.28,Royal Enfield,Meteor 350,330012,2017,613,Electric,85.54,First,2017,Expired,Dealer,182729.01,Tier 1
Uttar Pradesh,55.11,TVS,Sport,270927,2018,291,Petrol,28.66,Second,2019,Active,Dealer,112706.95,Tier 2
Uttar Pradesh,47.77,TVS,Jupiter,175843,2015,327,Hybrid,84.0,Second,2016,Expired,Dealer,128142.19,Tier 3
Maharashtra,19.42,Yamaha,Fascino 125,212010,2016,619,Electric,81.64,First,2016,Expired,Individual,103679.34,Metro
Maharashtra,33.07,TVS,Apache RTR 160,114314,2020,990,Petrol,50.55,Third,2020,Active,Dealer,66251.38,Metro
Rajasthan,53.1,TVS,Apache RTR 160,53008,2021,222,Electric,83.22,First,2021,Active,Dealer,25732.41,Metro
Gujarat,71.03,Hero,Splendor Plus,185485,2023,407,Electric,85.31,First,2023,Expired,Individual,93733.61,Tier 3
Uttar Pradesh,34.43,Royal Enfield,Meteor 350,351520,2021,623,Hybrid,68.67,Third,2021,Expired,Individual,238070.57,Metro
Punjab,53.2,TVS,Jupiter,256086,2016,599,Hybrid,67.6,First,2016,Active,Individual,122462.94,Metro
West Bengal,21.11,KTM,125 Duke,314569,2022,419,Electric,92.67,Second,2023,Active,Dealer,135234.84,Metro
Tamil Nadu,33.97,Bajaj,Dominar 400,337699,2019,801,Hybrid,76.56,Second,2021,Expired,Dealer,172051.51,Tier 3
Karnataka,15.27,Hero,Passion Pro,330497,2023,876,Petrol,55.93,Third,2024,Active,Individual,199760.08,Tier 3
Punjab,28.92,KTM,RC 390,352132,2022,858,Hybrid,64.9,Second,2022,Not Available,Dealer,163764.7,Tier 3
Karnataka,55.28,Royal Enfield,Interceptor 650,222078,2016,585,Electric,99.76,First,2016,Expired,Individual,127563.86,Tier 2
Rajasthan,69.3,Bajaj,Avenger 220,148910,2017,954,Electric,95.45,First,2017,Expired,Individual,87443.98,Tier 2
Tamil Nadu,5.82,Honda,Shine,179878,2015,503,Hybrid,79.11,First,2015,Expired,Individual,90574.34,Tier 3
Tamil Nadu,9.75,KTM,250 Duke,237307,2017,961,Electric,84.78,Third,2018,Active,Dealer,117470.44,Tier 2
Tamil Nadu,18.47,Bajaj,Dominar 400,66310,2015,299,Electric,66.92,First,2015,Active,Individual,41259.58,Metro
Uttar Pradesh,78.33,Hero,Splendor Plus,99942,2017,375,Hybrid,88.25,First,2017,Active,Dealer,79534.11,Tier 1
Uttar Pradesh,11.51,Royal Enfield,Classic 350,376744,2023,444,Electric,63.02,First,2023,Expired,Dealer,178101.11,Metro
Maharashtra,11.14,Kawasaki,Vulcan S,164900,2021,419,Electric,92.13,Second,2024,Not Available,Individual,67512.06,Tier 2
Karnataka,41.86,Bajaj,Dominar 400,398939,2023,993,Electric,63.81,Third,2024,Expired,Individual,181272.53,Tier 3
Rajasthan,7.78,Bajaj,Dominar 400,353428,2015,160,Electric,70.48,Second,2017,Active,Individual,231134.16,Tier 1
Tamil Nadu,54.55,Hero,Xtreme 160R,89175,2022,977,Petrol,49.76,Second,2023,Expired,Individual,37380.12,Tier 2
Delhi,34.35,Kawasaki,Ninja 400,325369,2015,477,Electric,92.12,First,2015,Expired,Individual,172093.68,Metro
Maharashtra,16.46,Kawasaki,Versys 650,383293,2024,943,Petrol,57.98,Third,2024,Active,Dealer,216469.19,Metro
Maharashtra,57.87,Yamaha,FZ V3,241508,2019,601,Hybrid,72.59,Second,2024,Not Available,Individual,104088.62,Tier 3
Karnataka,37.33,Yamaha,FZ V3,89731,2020,749,Hybrid,78.38,Third,2021,Active,Individual,58959.38,Tier 2
Maharashtra,12.32,Kawasaki,Vulcan S,229618,2021,335,Hybrid,92.75,Second,2023,Not Available,Individual,131469.52,Tier 3
Tamil Nadu,53.44,Kawasaki,Z650,231487,2022,777,Electric,62.94,First,2022,Expired,Individual,180002.33,Tier 3
Karnataka,73.77,TVS,Apache RTR 160,295076,2022,115,Electric,71.1,Third,2023,Not Available,Dealer,147987.59,Metro
Delhi,7.81,Royal Enfield,Classic 350,185429,2020,620,Petrol,35.32,First,2020,Active,Individual,109685.75,Tier 1
Uttar Pradesh,18.51,TVS,NTorq 125,387928,2016,194,Hybrid,90.05,First,2016,Not Available,Individual,268122.38,Metro
Karnataka,77.08,Kawasaki,Vulcan S,270749,2023,484,Electric,66.56,First,2023,Not Available,Dealer,121084.54,Tier 3
Punjab,45.05,Honda,CBR 650R,62668,2023,859,Hybrid,64.36,Third,2023,Active,Dealer,43267.86,Tier 2
Maharashtra,77.57,Honda,CBR 650R,333414,2019,262,Petrol,28.53,Third,2021,Active,Dealer,229673.76,Tier 1
Uttar Pradesh,7.15,KTM,390 Adventure,350289,2024,612,Hybrid,62.92,Third,2024,Not Available,Individual,189271.0,Metro
Madhya Pradesh,64.45,Royal Enfield,Meteor 350,399981,2019,453,Electric,95.49,First,2019,Not Available,Individual,305334.45,Tier 1
Maharashtra,70.93,Honda,Unicorn,146068,2022,459,Hybrid,94.61,First,2022,Not Available,Individual,59944.89,Tier 2
Gujarat,24.11,Kawasaki,Versys 650,186034,2015,292,Hybrid,94.39,Second,2023,Expired,Individual,139070.28,Tier 1
Gujarat,75.12,Hero,HF Deluxe,88489,2023,463,Electric,76.07,Second,2023,Expired,Individual,55579.4,Metro
Tamil Nadu,6.05,Yamaha,FZ V3,346436,2018,368,Hybrid,65.71,Second,2019,Not Available,Dealer,269943.6,Tier 3
Gujarat,15.81,Honda,Activa,311522,2021,908,Petrol,28.63,First,2021,Active,Individual,165149.0,Tier 1
Karnataka,6.88,KTM,125 Duke,313835,2016,695,Petrol,42.74,First,2016,Not Available,Dealer,191085.36,Tier 2
Rajasthan,62.54,Kawasaki,Ninja 300,141679,2020,701,Hybrid,71.82,First,2020,Not Available,Individual,94761.57,Tier 1
Madhya Pradesh,6.55,KTM,250 Duke,52023,2023,558,Hybrid,63.67,First,2023,Active,Dealer,35212.35,Tier 3
Punjab,53.47,TVS,Apache RTR 160,176302,2023,335,Petrol,31.41,Third,2024,Not Available,Individual,118078.89,Metro
Madhya Pradesh,32.85,Yamaha,Fascino 125,187520,2020,390,Electric,75.79,Second,2023,Expired,Dealer,91737.2,Tier 3
Punjab,64.5,Yamaha,Ray ZR,163093,2020,714,Hybrid,68.03,Second,2024,Not Available,Dealer,69612.93,Tier 3
Karnataka,54.29,Kawasaki,Ninja 300,72910,2020,822,Hybrid,96.98,Second,2020,Active,Dealer,30236.15,Tier 1
Tamil Nadu,25.23,TVS,Sport,311190,2017,698,Electric,60.87,First,2017,Active,Dealer,130415.39,Tier 3
Rajasthan,65.14,Honda,CBR 650R,249858,2022,447,Electric,93.53,Second,2023,Not Available,Individual,143141.31,Tier 1
Madhya Pradesh,74.37,Yamaha,FZ V3,232430,2016,800,Electric,92.9,First,2016,Not Available,Individual,126688.11,Tier 1
Maharashtra,32.52,Honda,Shine,244775,2023,340,Hybrid,80.28,First,2023,Expired,Dealer,164811.04,Metro
Tamil Nadu,33.15,KTM,250 Duke,107263,2024,476,Electric,95.53,Second,2024,Expired,Individual,54706.06,Tier 3
Punjab,16.85,Honda,Unicorn,132606,2019,182,Electric,77.22,First,2019,Expired,Individual,86953.45,Metro
Punjab,33.83,TVS,Apache RTR 160,62790,2019,173,Hybrid,94.36,Second,2023,Not Available,Individual,46532.78,Tier 2
Karnataka,34.89,Yamaha,Fascino 125,71020,2015,864,Hybrid,60.63,First,2015,Active,Individual,30060.05,Tier 1
Uttar Pradesh,73.62,Royal Enfield,Classic 350,155323,2015,868,Petrol,49.17,Second,2023,Active,Individual,73680.59,Tier 1
Punjab,35.43,Kawasaki,Vulcan S,229375,2018,399,Electric,68.92,Third,2022,Not Available,Dealer,136464.15,Tier 2
Madhya Pradesh,39.62,Bajaj,Dominar 400,329124,2020,368,Petrol,54.56,Second,2022,Expired,Dealer,188423.58,Tier 1
Rajasthan,8.07,KTM,250 Duke,333013,2024,714,Electric,83.45,First,2024,Active,Individual,186714.48,Tier 1
Tamil Nadu,53.46,Yamaha,FZ V3,84719,2019,112,Petrol,39.59,Third,2023,Active,Individual,39100.44,Tier 1
Uttar Pradesh,29.91,Royal Enfield,Himalayan,168474,2016,480,Hybrid,84.55,Second,2022,Expired,Dealer,121299.28,Tier 3
Maharashtra,39.83,Kawasaki,Z650,190521,2024,937,Hybrid,91.04,Third,2024,Active,Dealer,93340.86,Tier 1
Madhya Pradesh,66.02,Yamaha,FZ V3,335495,2017,659,Electric,73.78,Second,2019,Not Available,Individual,141229.05,Tier 2
Madhya Pradesh,18.43,Kawasaki,Versys 650,271390,2017,566,Electric,91.75,Third,2024,Expired,Dealer,210822.98,Tier 1
Madhya Pradesh,65.04,Honda,Dio,143967,2021,348,Petrol,28.06,Third,2024,Not Available,Dealer,108572.62,Tier 2
Delhi,45.86,Hero,Xtreme 160R,180257,2024,878,Hybrid,85.01,Second,2024,Active,Individual,118702.07,Tier 3
Delhi,20.51,Honda,Dio,323942,2018,418,Hybrid,60.63,Third,2022,Not Available,Individual,250013.39,Tier 2
Karnataka,66.66,KTM,390 Adventure,52554,2024,605,Petrol,37.15,First,2024,Active,Dealer,24337.23,Tier 3
Karnataka,38.02,Hero,Passion Pro,323101,2023,259,Petrol,30.13,Second,2024,Expired,Dealer,243374.59,Tier 1
Rajasthan,62.8,TVS,NTorq 125,213021,2022,640,Hybrid,90.56,Third,2023,Active,Dealer,88608.21,Metro
Delhi,30.32,Bajaj,Pulsar 150,162244,2018,923,Petrol,34.4,Second,2023,Not Available,Dealer,67409.77,Tier 1
Gujarat,32.67,KTM,250 Duke,72006,2022,776,Electric,81.74,First,2022,Not Available,Individual,55000.87,Metro
Uttar Pradesh,67.13,Hero,HF Deluxe,295292,2020,279,Electric,98.74,Second,2023,Not Available,Individual,235207.33,Metro
Tamil Nadu,21.27,TVS,Jupiter,246945,2017,385,Hybrid,66.87,Second,2020,Not Available,Dealer,158130.89,Tier 1
Maharashtra,42.79,Hero,Splendor Plus,193754,2024,610,Electric,82.23,First,2024,Expired,Dealer,129441.94,Tier 3
Madhya Pradesh,51.59,Kawasaki,Versys 650,164010,2024,400,Electric,95.5,Third,2024,Active,Dealer,115900.17,Metro
Karnataka,64.22,Kawasaki,Versys 650,180903,2018,513,Electric,83.65,Second,2019,Not Available,Individual,97250.24,Metro
Rajasthan,37.55,Bajaj,CT 100,311777,2020,302,Hybrid,95.33,First,2020,Not Available,Dealer,172429.93,Tier 2
Tamil Nadu,74.87,Kawasaki,Z650,344866,2023,885,Hybrid,93.39,Second,2023,Not Available,Dealer,230824.44,Tier 1
Tamil Nadu,69.5,Yamaha,Fascino 125,295921,2024,746,Petrol,31.76,Second,2024,Expired,Dealer,119780.32,Tier 2
Rajasthan,69.8,Kawasaki,Ninja 300,265550,2023,629,Petrol,29.87,First,2023,Active,Individual,154214.5,Tier 1
Delhi,31.57,Hero,HF Deluxe,283040,2022,257,Hybrid,78.69,Third,2022,Not Available,Dealer,217740.96,Metro
Tamil Nadu,75.55,Royal Enfield,Interceptor 650,287698,2023,982,Electric,91.63,Third,2024,Expired,Individual,171609.43,Tier 1
Rajasthan,33.27,Kawasaki,Z650,358817,2018,947,Petrol,28.47,First,2018,Expired,Dealer,258793.01,Tier 1
Delhi,22.91,Yamaha,MT-15,251186,2017,265,Petrol,25.4,First,2017,Not Available,Dealer,118563.81,Tier 3
Rajasthan,49.84,Honda,Shine,315789,2022,806,Electric,78.24,Second,2022,Not Available,Dealer,247361.59,Metro
Maharashtra,72.34,Yamaha,R15 V4,154089,2017,197,Hybrid,60.08,Second,2024,Not Available,Individual,84701.02,Tier 1
Madhya Pradesh,17.59,Yamaha,R15 V4,200843,2020,275,Petrol,25.1,Second,2024,Expired,Individual,107563.21,Tier 3
Rajasthan,9.74,TVS,Ronin,252049,2021,638,Electric,74.3,First,2021,Not Available,Dealer,157122.0,Tier 1
Madhya Pradesh,12.15,KTM,Duke 200,169841,2016,538,Electric,65.51,Second,2024,Expired,Dealer,109105.92,Tier 1
Punjab,15.22,Royal Enfield,Classic 350,242366,2022,246,Petrol,43.49,Third,2022,Active,Individual,113410.25,Tier 3
Gujarat,22.05,Honda,Activa,107765,2022,874,Electric,93.26,Third,2024,Active,Individual,63132.43,Metro
Maharashtra,46.76,Kawasaki,Vulcan S,76657,2023,125,Electric,64.27,Third,2024,Active,Dealer,31998.83,Tier 1
Gujarat,51.82,Hero,Splendor Plus,190252,2023,815,Petrol,37.41,Second,2023,Active,Dealer,123339.32,Tier 3
Tamil Nadu,64.58,TVS,NTorq 125,301325,2015,855,Hybrid,66.15,Second,2024,Active,Individual,190544.92,Metro
Maharashtra,58.37,Hero,Passion Pro,246892,2018,679,Hybrid,81.36,First,2018,Expired,Individual,100251.18,Tier 2
Karnataka,27.86,Kawasaki,Vulcan S,245824,2015,666,Electric,66.34,Second,2018,Active,Individual,188769.6,Tier 2
Delhi,44.25,Hero,Glamour,342271,2015,126,Hybrid,90.1,Second,2017,Active,Individual,154244.44,Tier 2
Maharashtra,67.76,Bajaj,CT 100,238959,2015,906,Hybrid,64.49,Third,2018,Not Available,Dealer,144627.01,Tier 3
Maharashtra,65.84,Bajaj,Pulsar 150,106350,2016,191,Petrol,28.58,Third,2019,Active,Dealer,56520.66,Tier 1
Karnataka,57.49,Yamaha,Ray ZR,83201,2023,499,Petrol,59.46,First,2023,Active,Dealer,64544.63,Tier 3
Uttar Pradesh,56.82,Hero,HF Deluxe,383798,2018,869,Petrol,37.34,Third,2019,Not Available,Individual,218080.09,Metro
Madhya Pradesh,77.83,KTM,Duke 200,200077,2023,441,Hybrid,86.29,First,2023,Expired,Individual,133872.86,Tier 3
Madhya Pradesh,67.56,Royal Enfield,Meteor 350,90917,2024,770,Petrol,44.29,Third,2024,Expired,Dealer,50424.46,Metro
Rajasthan,43.37,TVS,Sport,393631,2022,114,Hybrid,76.42,First,2022,Not Available,Dealer,310667.65,Metro
Rajasthan,69.33,Honda,CBR 650R,168273,2023,785,Hybrid,78.93,Second,2024,Not Available,Individual,122682.89,Tier 1
Rajasthan,55.6,Honda,Dio,131470,2019,536,Petrol,37.12,First,2019,Active,Individual,94184.85,Metro
Rajasthan,78.6,Honda,CBR 650R,84706,2019,260,Hybrid,96.92,Second,2024,Expired,Dealer,35051.56,Tier 3
Uttar Pradesh,63.97,Bajaj,Pulsar 150,202659,2021,939,Hybrid,88.66,Third,2021,Not Available,Dealer,114352.22,Tier 1
Punjab,30.68,Royal Enfield,Interceptor 650,299019,2019,157,Electric,64.29,First,2019,Expired,Individual,218965.36,Tier 3
Tamil Nadu,45.54,TVS,Apache RTR 160,351099,2020,791,Petrol,30.68,Second,2022,Expired,Dealer,159531.97,Tier 3
Karnataka,7.3,Royal Enfield,Meteor 350,242059,2016,589,Petrol,32.47,Second,2023,Active,Dealer,102339.55,Tier 2
Punjab,42.62,Hero,Xtreme 160R,246649,2015,813,Electric,66.01,First,2015,Not Available,Dealer,193314.49,Tier 3
Maharashtra,50.27,Bajaj,Platina 110,110796,2016,294,Electric,74.09,Second,2019,Not Available,Dealer,51500.11,Tier 3
West Bengal,69.81,Bajaj,Platina 110,183369,2019,449,Petrol,26.41,Second,2023,Expired,Dealer,92100.31,Tier 3
Uttar Pradesh,79.79,Yamaha,FZ V3,361957,2024,392,Electric,82.54,Second,2024,Expired,Dealer,180415.07,Metro
Punjab,19.11,Hero,Splendor Plus,170102,2023,853,Electric,62.81,Third,2024,Expired,Dealer,113511.93,Metro
Delhi,77.03,KTM,Duke 200,174696,2017,342,Electric,68.68,First,2017,Expired,Dealer,107592.91,Metro
Punjab,42.38,KTM,390 Adventure,393332,2023,790,Petrol,47.15,First,2023,Expired,Dealer,259619.57,Tier 3
Gujarat,52.04,Yamaha,MT-15,280917,2016,609,Hybrid,79.37,Second,2021,Active,Individual,193576.22,Metro
Karnataka,8.37,Kawasaki,Vulcan S,305401,2022,354,Electric,68.26,First,2022,Active,Dealer,174055.32,Tier 3
Rajasthan,77.74,Hero,Xtreme 160R,374188,2024,753,Hybrid,99.4,First,2024,Not Available,Dealer,232737.07,Tier 3
Tamil Nadu,27.58,KTM,125 Duke,266227,2022,651,Hybrid,70.59,First,2022,Active,Individual,155615.15,Tier 2
Maharashtra,72.65,TVS,Ronin,359402,2020,366,Petrol,32.83,Third,2022,Active,Individual,218085.27,Tier 3
Rajasthan,61.74,Kawasaki,Ninja 400,373134,2019,492,Hybrid,71.6,First,2019,Active,Dealer,162936.1,Tier 1
Tamil Nadu,58.82,Hero,Glamour,85570,2019,739,Electric,63.61,Second,2024,Active,Individual,66715.56,Tier 3
Delhi,29.01,Kawasaki,Vulcan S,79181,2019,592,Petrol,30.77,First,2019,Expired,Dealer,62446.13,Tier 1
Uttar Pradesh,25.91,Kawasaki,Ninja 300,297003,2018,215,Hybrid,74.63,Second,2024,Expired,Individual,221594.36,Tier 3
Rajasthan,34.75,Yamaha,Ray ZR,327484,2024,977,Hybrid,79.0,Second,2024,Not Available,Individual,241200.65,Tier 3
Karnataka,22.09,Kawasaki,Versys 650,138953,2024,256,Petrol,46.28,Second,2024,Not Available,Dealer,65843.94,Tier 2
Gujarat,8.41,Kawasaki,Ninja 400,166007,2018,833,Petrol,58.48,First,2018,Expired,Dealer,113840.72,Tier 2
Tamil Nadu,72.21,TVS,NTorq 125,180513,2017,866,Petrol,59.17,Third,2018,Active,Dealer,115313.75,Tier 2
Rajasthan,40.63,Royal Enfield,Meteor 350,263511,2023,693,Petrol,31.4,First,2023,Not Available,Dealer,116877.28,Tier 1
Rajasthan,75.28,TVS,Apache RTR 160,380482,2018,784,Electric,77.13,Third,2019,Not Available,Individual,253397.12,Tier 3
Karnataka,76.35,Yamaha,R15 V4,146159,2018,474,Hybrid,83.98,Third,2023,Active,Dealer,88364.63,Metro
Maharashtra,35.91,Yamaha,FZ V3,230693,2015,752,Electric,85.46,First,2015,Active,Dealer,157584.67,Tier 2
Karnataka,22.42,Bajaj,Dominar 400,171875,2024,242,Hybrid,82.51,Third,2024,Expired,Individual,86323.68,Tier 3
Delhi,22.07,Bajaj,Pulsar 150,393756,2024,425,Petrol,26.78,Second,2024,Not Available,Individual,173027.01,Tier 1
Madhya Pradesh,30.64,Yamaha,R15 V4,146249,2022,128,Hybrid,81.15,First,2022,Active,Individual,75181.97,Tier 3
Delhi,79.97,TVS,Ronin,187206,2017,255,Hybrid,76.78,Third,2024,Expired,Dealer,143837.33,Tier 2
Madhya Pradesh,77.77,Kawasaki,Z650,297119,2023,656,Electric,85.05,Third,2024,Expired,Dealer,186439.84,Tier 2
Punjab,38.36,TVS,Apache RTR 160,226340,2021,742,Electric,94.57,Third,2021,Expired,Individual,171484.38,Metro
Rajasthan,28.98,KTM,250 Duke,258497,2016,869,Petrol,30.32,Third,2020,Active,Individual,180837.09,Tier 3
Tamil Nadu,42.65,Honda,Shine,237345,2016,586,Petrol,38.43,Second,2020,Expired,Individual,170158.28,Tier 3
Maharashtra,64.67,KTM,Duke 200,132398,2017,879,Hybrid,96.24,Third,2017,Active,Individual,59525.77,Tier 3
Rajasthan,26.96,TVS,Jupiter,325085,2018,286,Electric,77.11,Second,2024,Expired,Individual,156520.83,Tier 3
Tamil Nadu,61.8,Royal Enfield,Hunter 350,295396,2020,813,Petrol,46.46,First,2020,Not Available,Dealer,196086.42,Metro
Rajasthan,29.17,Kawasaki,Ninja 400,77717,2020,461,Electric,85.66,First,2020,Not Available,Dealer,56034.6,Tier 2
Tamil Nadu,40.2,TVS,NTorq 125,222303,2023,655,Electric,81.48,Second,2024,Not Available,Individual,90418.7,Tier 1
Madhya Pradesh,14.86,Bajaj,Dominar 400,222360,2020,505,Petrol,56.43,Second,2024,Active,Dealer,153779.34,Tier 3
Maharashtra,57.96,Bajaj,CT 100,124067,2020,776,Hybrid,73.35,Second,2020,Active,Individual,89633.54,Tier 1
West Bengal,45.59,Kawasaki,Vulcan S,191996,2024,560,Petrol,53.03,Second,2024,Expired,Individual,102531.84,Tier 3
West Bengal,8.92,KTM,Duke 200,118404,2017,626,Petrol,50.8,Second,2023,Active,Dealer,82187.98,Metro
Tamil Nadu,41.48,TVS,Jupiter,253566,2018,748,Petrol,48.78,Second,2022,Expired,Individual,198082.31,Metro
Gujarat,54.12,Kawasaki,Versys 650,177875,2017,304,Hybrid,72.97,First,2017,Expired,Individual,101822.78,Tier 3
Karnataka,29.07,TVS,NTorq 125,317304,2022,586,Petrol,56.61,Third,2022,Active,Dealer,140973.6,Tier 1
Gujarat,46.36,TVS,Sport,379107,2021,401,Petrol,34.65,Third,2021,Expired,Dealer,235043.63,Metro
Punjab,13.82,Royal Enfield,Himalayan,195146,2016,648,Electric,73.08,First,2016,Not Available,Individual,100194.93,Tier 2
Karnataka,36.86,Royal Enfield,Classic 350,171617,2024,667,Electric,62.14,First,2024,Not Available,Dealer,84814.71,Metro
Madhya Pradesh,10.3,Bajaj,Platina 110,328347,2020,813,Hybrid,97.53,First,2020,Active,Dealer,246249.72,Tier 3
